PurchaseOrder,PurchaseOrderCreationDate,VendorKey,PlantKey,MaterialKey,MaterialPlantKey,PurchaseOrderQuantity,PlannedGoodsReceiptDate,ActualGoodsReceiptDate,PlannedArrivalDateYard,ActualArrivalDateYard,PlannedVendorShipmentDate,ActualVendorShipmentDate
4500000015,31 03 2023,1001,4,1,10004,74,23 04 2023,23 04 2023,21 04 2023,21 04 2023,20 04 2023,20 04 2023
4500000016,5 03 2023,1002,5,1,10005,81,28 03 2023,23 03 2023,26 03 2023,26 03 2023,25 03 2023,25 03 2023
4500000017,9 04 2023,1003,6,1,10006,77,2 05 2023,27 04 2023,30 04 2023,30 04 2023,29 04 2023,29 04 2023
4500000018,22 06 2023,1001,4,1,10004,78,15 07 2023,14 07 2023,13 07 2023,13 07 2023,12 07 2023,12 07 2023
4500000019,6 10 2024,1001,4,2,20004,84,29 10 2024,25 10 2024,27 10 2024,27 10 2024,26 10 2024,26 10 2024
4500000020,11 01 2022,1001,4,1,10004,91,3 02 2022,1 02 2022,1 02 2022,1 02 2022,31 01 2022,31 01 2022
4500000021,15 03 2024,1001,4,1,10004,71,7 04 2024,4 04 2024,5 04 2024,5 04 2024,4 04 2024,4 04 2024
4500000022,7 06 2023,1001,4,2,20004,73,30 06 2023,29 06 2023,28 06 2023,28 06 2023,27 06 2023,27 06 2023
4500000023,5 09 2024,1001,4,1,10004,78,28 09 2024,28 09 2024,26 09 2024,26 09 2024,25 09 2024,25 09 2024
4500000024,12 02 2022,1001,4,1,10004,70,7 03 2022,4 03 2022,5 03 2022,5 03 2022,4 03 2022,4 03 2022
4500000025,14 06 2023,1001,4,1,10004,63,7 07 2023,6 07 2023,5 07 2023,5 07 2023,4 07 2023,4 07 2023
4500000026,21 10 2022,1001,4,2,20004,82,13 11 2022,10 11 2022,11 11 2022,11 11 2022,10 11 2022,10 11 2022
4500000027,9 02 2023,1001,4,1,10004,82,4 03 2023,13 03 2023,2 03 2023,11 03 2023,1 03 2023,10 03 2023
4500000028,7 08 2022,1001,4,1,10004,79,30 08 2022,26 08 2022,28 08 2022,28 08 2022,27 08 2022,27 08 2022
4500000029,7 10 2024,1002,5,1,10005,79,30 10 2024,30 10 2024,28 10 2024,28 10 2024,27 10 2024,27 10 2024
4500000030,9 10 2022,1001,4,1,10004,71,1 11 2022,1 11 2022,30 10 2022,30 10 2022,29 10 2022,29 10 2022
4500000031,22 02 2024,1001,4,1,10004,84,16 03 2024,16 03 2024,14 03 2024,14 03 2024,13 03 2024,13 03 2024
4500000032,9 07 2023,1001,4,1,10004,70,1 08 2023,27 07 2023,30 07 2023,30 07 2023,29 07 2023,29 07 2023
4500000033,14 01 2022,1003,6,1,10006,65,6 02 2022,4 02 2022,4 02 2022,4 02 2022,3 02 2022,3 02 2022
4500000034,25 12 2023,1002,5,1,10005,76,17 01 2024,29 01 2024,15 01 2024,27 01 2024,14 01 2024,26 01 2024
4500000035,14 09 2022,1001,4,2,20004,77,7 10 2022,4 10 2022,5 10 2022,5 10 2022,4 10 2022,4 10 2022
4500000036,7 05 2023,1003,6,2,20006,81,30 05 2023,26 05 2023,28 05 2023,28 05 2023,27 05 2023,27 05 2023
4500000037,21 08 2022,1003,6,2,20006,88,13 09 2022,27 09 2022,11 09 2022,25 09 2022,10 09 2022,24 09 2022
4500000038,23 08 2023,1001,4,1,10004,84,15 09 2023,15 09 2023,13 09 2023,13 09 2023,12 09 2023,12 09 2023
4500000039,13 02 2024,1002,8,1,10008,71,8 03 2024,7 03 2024,6 03 2024,6 03 2024,4 03 2024,4 03 2024
4500000040,28 10 2022,1001,4,2,20004,90,20 11 2022,17 11 2022,18 11 2022,18 11 2022,17 11 2022,17 11 2022
4500000041,21 09 2024,1003,6,1,10006,82,14 10 2024,9 10 2024,12 10 2024,12 10 2024,11 10 2024,11 10 2024
4500000042,26 12 2022,1001,4,1,10004,85,18 01 2023,23 01 2023,16 01 2023,16 01 2023,15 01 2023,15 01 2023
4500000043,28 01 2022,1002,5,1,10005,77,20 02 2022,17 02 2022,18 02 2022,18 02 2022,17 02 2022,17 02 2022
4500000044,22 07 2023,1002,8,1,10008,81,15 08 2023,14 08 2023,13 08 2023,13 08 2023,11 08 2023,11 08 2023
4500000045,28 10 2022,1001,4,1,10004,77,20 11 2022,16 11 2022,18 11 2022,18 11 2022,17 11 2022,17 11 2022
4500000046,22 06 2023,1002,8,1,10008,78,16 07 2023,16 07 2023,14 07 2023,14 07 2023,12 07 2023,12 07 2023
4500000047,5 05 2023,1002,8,1,10008,69,29 05 2023,26 05 2023,27 05 2023,27 05 2023,25 05 2023,25 05 2023
4500000048,7 09 2022,1001,4,1,10004,72,30 09 2022,28 09 2022,28 09 2022,28 09 2022,27 09 2022,27 09 2022
4500000049,6 02 2022,1002,8,2,20008,73,2 03 2022,25 02 2022,28 02 2022,28 02 2022,26 02 2022,26 02 2022
4500000050,14 06 2022,1002,8,1,10008,77,8 07 2022,14 07 2022,6 07 2022,12 07 2022,4 07 2022,10 07 2022
4500000051,25 02 2024,1003,6,1,10006,76,19 03 2024,14 03 2024,17 03 2024,17 03 2024,16 03 2024,16 03 2024
4500000052,24 10 2023,1003,6,1,10006,91,16 11 2023,16 11 2023,14 11 2023,14 11 2023,13 11 2023,13 11 2023
4500000053,25 08 2024,1003,6,1,10006,84,17 09 2024,12 09 2024,15 09 2024,15 09 2024,14 09 2024,14 09 2024
4500000054,8 04 2023,1003,6,1,10006,83,1 05 2023,1 05 2023,29 04 2023,29 04 2023,28 04 2023,28 04 2023
4500000055,7 09 2024,1001,4,1,10004,76,30 09 2024,30 09 2024,28 09 2024,28 09 2024,27 09 2024,27 09 2024
4500000056,9 02 2022,1003,6,1,10006,68,4 03 2022,4 03 2022,2 03 2022,2 03 2022,1 03 2022,1 03 2022
4500000057,14 04 2024,1001,4,1,10004,72,7 05 2024,6 05 2024,5 05 2024,5 05 2024,4 05 2024,4 05 2024
4500000058,21 03 2024,1001,4,1,10004,83,13 04 2024,10 04 2024,11 04 2024,11 04 2024,10 04 2024,10 04 2024
4500000059,8 10 2022,1001,4,1,10004,85,31 10 2022,28 10 2022,29 10 2022,29 10 2022,28 10 2022,28 10 2022
4500000060,17 04 2024,1003,6,1,10006,71,10 05 2024,7 05 2024,8 05 2024,8 05 2024,7 05 2024,7 05 2024
4500000061,2 05 2023,1002,8,1,10008,70,26 05 2023,23 05 2023,24 05 2023,24 05 2023,22 05 2023,22 05 2023
4500000062,22 03 2024,1003,6,1,10006,75,14 04 2024,11 04 2024,12 04 2024,12 04 2024,11 04 2024,11 04 2024
4500000063,5 07 2023,1001,4,1,10004,73,28 07 2023,26 07 2023,26 07 2023,26 07 2023,25 07 2023,25 07 2023
4500000064,19 01 2024,1003,6,1,10006,73,11 02 2024,11 02 2024,9 02 2024,9 02 2024,8 02 2024,8 02 2024
4500000065,7 07 2024,1002,5,1,10005,83,30 07 2024,29 07 2024,28 07 2024,28 07 2024,27 07 2024,27 07 2024
4500000066,9 12 2022,1002,5,1,10005,76,1 01 2023,1 01 2023,30 12 2022,30 12 2022,29 12 2022,29 12 2022
4500000067,2 12 2022,1001,4,2,20004,76,25 12 2022,22 12 2022,23 12 2022,23 12 2022,22 12 2022,22 12 2022
4500000068,20 08 2023,1001,4,2,20004,80,12 09 2023,11 09 2023,10 09 2023,10 09 2023,9 09 2023,9 09 2023
4500000069,18 12 2023,1001,4,2,20004,76,10 01 2024,5 01 2024,8 01 2024,8 01 2024,7 01 2024,7 01 2024
4500000070,2 11 2022,1003,6,2,20006,72,25 11 2022,24 11 2022,23 11 2022,23 11 2022,22 11 2022,22 11 2022
4500000071,27 07 2023,1002,5,1,10005,81,19 08 2023,17 08 2023,17 08 2023,17 08 2023,16 08 2023,16 08 2023
4500000072,16 06 2024,1002,8,1,10008,72,10 07 2024,5 07 2024,8 07 2024,8 07 2024,6 07 2024,6 07 2024
4500000073,29 06 2023,1001,4,2,20004,74,22 07 2023,20 07 2023,20 07 2023,20 07 2023,19 07 2023,19 07 2023
4500000074,25 10 2022,1001,4,2,20004,81,17 11 2022,17 11 2022,15 11 2022,15 11 2022,14 11 2022,14 11 2022
4500000075,23 11 2022,1001,4,1,10004,72,16 12 2022,13 12 2022,14 12 2022,14 12 2022,13 12 2022,13 12 2022
4500000076,21 09 2023,1003,6,1,10006,75,14 10 2023,13 10 2023,12 10 2023,12 10 2023,11 10 2023,11 10 2023
4500000077,17 06 2022,1001,4,1,10004,75,10 07 2022,8 07 2022,8 07 2022,8 07 2022,7 07 2022,7 07 2022
4500000078,9 07 2023,1001,4,2,20004,86,1 08 2023,1 08 2023,30 07 2023,30 07 2023,29 07 2023,29 07 2023
4500000079,23 02 2024,1003,6,1,10006,76,17 03 2024,15 03 2024,15 03 2024,15 03 2024,14 03 2024,14 03 2024
4500000080,10 02 2022,1001,4,1,10004,68,5 03 2022,3 03 2022,3 03 2022,3 03 2022,2 03 2022,2 03 2022
4500000081,30 03 2023,1001,4,1,10004,68,22 04 2023,21 04 2023,20 04 2023,20 04 2023,19 04 2023,19 04 2023
4500000082,1 05 2023,1002,8,2,20008,79,25 05 2023,25 05 2023,23 05 2023,23 05 2023,21 05 2023,21 05 2023
4500000083,28 02 2024,1001,4,1,10004,85,22 03 2024,21 03 2024,20 03 2024,20 03 2024,19 03 2024,19 03 2024
4500000084,30 03 2022,1001,4,1,10004,81,22 04 2022,20 04 2022,20 04 2022,20 04 2022,19 04 2022,19 04 2022
4500000085,13 08 2022,1001,4,1,10004,75,5 09 2022,2 09 2022,3 09 2022,3 09 2022,2 09 2022,2 09 2022
4500000086,23 10 2022,1002,5,2,20005,76,15 11 2022,15 11 2022,13 11 2022,13 11 2022,12 11 2022,12 11 2022
4500000087,28 12 2021,1002,5,1,10005,79,20 01 2022,3 02 2022,18 01 2022,1 02 2022,17 01 2022,31 01 2022
4500000088,18 11 2023,1001,4,2,20004,79,11 12 2023,12 12 2023,9 12 2023,9 12 2023,8 12 2023,8 12 2023
4500000089,22 02 2023,1002,8,2,20008,82,18 03 2023,16 03 2023,16 03 2023,16 03 2023,14 03 2023,14 03 2023
4500000090,13 07 2022,1001,4,1,10004,85,5 08 2022,5 08 2022,3 08 2022,3 08 2022,2 08 2022,2 08 2022
4500000091,4 10 2023,1001,4,2,20004,77,27 10 2023,24 10 2023,25 10 2023,25 10 2023,24 10 2023,24 10 2023
4500000092,14 02 2023,1003,6,2,20006,71,9 03 2023,7 03 2023,7 03 2023,7 03 2023,6 03 2023,6 03 2023
4500000093,6 09 2022,1002,8,2,20008,73,30 09 2022,10 10 2022,28 09 2022,8 10 2022,26 09 2022,6 10 2022
4500000094,7 11 2024,1002,5,2,20005,66,30 11 2024,30 11 2024,28 11 2024,28 11 2024,27 11 2024,27 11 2024
4500000095,13 12 2023,1001,4,1,10004,61,5 01 2024,2 01 2024,3 01 2024,3 01 2024,2 01 2024,2 01 2024
4500000096,7 03 2024,1001,4,1,10004,82,30 03 2024,28 03 2024,28 03 2024,28 03 2024,27 03 2024,27 03 2024
4500000097,26 09 2024,1003,6,1,10006,72,19 10 2024,16 10 2024,17 10 2024,17 10 2024,16 10 2024,16 10 2024
4500000098,20 06 2023,1002,8,1,10008,74,14 07 2023,28 07 2023,12 07 2023,12 07 2023,10 07 2023,10 07 2023
4500000099,29 07 2023,1001,4,1,10004,85,21 08 2023,16 08 2023,19 08 2023,19 08 2023,18 08 2023,18 08 2023
4500000100,22 05 2023,1003,6,1,10006,74,14 06 2023,12 06 2023,12 06 2023,12 06 2023,11 06 2023,11 06 2023
4500000101,14 08 2022,1002,5,1,10005,73,6 09 2022,6 09 2022,4 09 2022,4 09 2022,3 09 2022,3 09 2022
4500000102,18 09 2023,1003,6,1,10006,75,11 10 2023,16 10 2023,9 10 2023,14 10 2023,8 10 2023,13 10 2023
4500000103,4 07 2022,1002,5,2,20005,79,27 07 2022,26 07 2022,25 07 2022,25 07 2022,24 07 2022,24 07 2022
4500000104,27 04 2023,1002,5,1,10005,86,20 05 2023,17 05 2023,18 05 2023,18 05 2023,17 05 2023,17 05 2023
4500000105,29 07 2023,1001,4,2,20004,71,21 08 2023,1 09 2023,19 08 2023,30 08 2023,18 08 2023,29 08 2023
4500000106,12 12 2022,1001,4,1,10004,76,4 01 2023,30 12 2022,2 01 2023,2 01 2023,1 01 2023,1 01 2023
4500000107,23 12 2021,1001,4,1,10004,78,15 01 2022,12 01 2022,13 01 2022,13 01 2022,12 01 2022,12 01 2022
4500000108,27 02 2023,1002,8,1,10008,74,23 03 2023,23 03 2023,21 03 2023,21 03 2023,19 03 2023,19 03 2023
4500000109,15 02 2023,1002,8,1,10008,77,11 03 2023,21 03 2023,9 03 2023,19 03 2023,7 03 2023,17 03 2023
4500000110,2 11 2024,1003,6,1,10006,77,25 11 2024,25 11 2024,23 11 2024,23 11 2024,22 11 2024,22 11 2024
4500000111,7 01 2023,1002,5,1,10005,76,30 01 2023,26 01 2023,28 01 2023,28 01 2023,27 01 2023,27 01 2023
4500000112,28 02 2024,1003,6,1,10006,78,22 03 2024,21 03 2024,20 03 2024,20 03 2024,19 03 2024,19 03 2024
4500000113,7 01 2023,1001,4,2,20004,75,30 01 2023,25 01 2023,28 01 2023,28 01 2023,27 01 2023,27 01 2023
4500000114,27 08 2022,1002,5,1,10005,68,19 09 2022,14 09 2022,17 09 2022,17 09 2022,16 09 2022,16 09 2022
4500000115,15 08 2024,1002,5,2,20005,80,7 09 2024,7 09 2024,5 09 2024,5 09 2024,4 09 2024,4 09 2024
4500000116,28 08 2024,1002,8,2,20008,80,21 09 2024,18 09 2024,19 09 2024,19 09 2024,17 09 2024,17 09 2024
4500000117,21 07 2024,1003,6,1,10006,79,13 08 2024,22 08 2024,11 08 2024,20 08 2024,10 08 2024,19 08 2024
4500000118,27 06 2023,1001,4,1,10004,83,20 07 2023,20 07 2023,18 07 2023,18 07 2023,17 07 2023,17 07 2023
4500000119,3 02 2022,1001,4,1,10004,73,26 02 2022,28 02 2022,24 02 2022,26 02 2022,23 02 2022,25 02 2022
4500000120,5 02 2024,1002,5,1,10005,70,28 02 2024,28 02 2024,26 02 2024,26 02 2024,25 02 2024,25 02 2024
4500000121,15 05 2023,1002,5,1,10005,70,7 06 2023,6 06 2023,5 06 2023,5 06 2023,4 06 2023,4 06 2023
4500000122,14 05 2022,1003,6,2,20006,77,6 06 2022,6 06 2022,4 06 2022,4 06 2022,3 06 2022,3 06 2022
4500000123,18 11 2023,1002,5,1,10005,84,11 12 2023,11 12 2023,9 12 2023,9 12 2023,8 12 2023,8 12 2023
4500000124,24 05 2022,1003,6,1,10006,78,16 06 2022,15 06 2022,14 06 2022,14 06 2022,13 06 2022,13 06 2022
4500000125,5 01 2023,1002,5,1,10005,73,28 01 2023,27 01 2023,26 01 2023,26 01 2023,25 01 2023,25 01 2023
4500000126,11 11 2023,1003,6,1,10006,83,4 12 2023,30 11 2023,2 12 2023,2 12 2023,1 12 2023,1 12 2023
4500000127,15 01 2024,1002,8,2,20008,85,8 02 2024,21 02 2024,6 02 2024,19 02 2024,4 02 2024,17 02 2024
4500000128,13 04 2022,1001,4,2,20004,77,6 05 2022,5 05 2022,4 05 2022,4 05 2022,3 05 2022,3 05 2022
4500000129,11 11 2023,1002,5,1,10005,87,4 12 2023,30 11 2023,2 12 2023,2 12 2023,1 12 2023,1 12 2023
4500000130,26 07 2024,1003,6,2,20006,78,18 08 2024,29 08 2024,16 08 2024,16 08 2024,15 08 2024,15 08 2024
4500000131,25 08 2023,1001,4,1,10004,65,17 09 2023,17 09 2023,15 09 2023,15 09 2023,14 09 2023,14 09 2023
4500000132,7 09 2022,1003,6,1,10006,74,30 09 2022,10 10 2022,28 09 2022,8 10 2022,27 09 2022,7 10 2022
4500000133,5 05 2022,1001,4,2,20004,83,28 05 2022,26 05 2022,26 05 2022,26 05 2022,25 05 2022,25 05 2022
4500000134,22 05 2024,1002,8,1,10008,76,15 06 2024,14 06 2024,13 06 2024,13 06 2024,11 06 2024,11 06 2024
4500000135,1 06 2022,1002,5,1,10005,72,24 06 2022,27 06 2022,22 06 2022,22 06 2022,21 06 2022,21 06 2022
4500000136,9 08 2024,1001,4,1,10004,74,1 09 2024,1 09 2024,30 08 2024,30 08 2024,29 08 2024,29 08 2024
4500000137,21 11 2024,1002,5,1,10005,75,14 12 2024,14 12 2024,12 12 2024,12 12 2024,11 12 2024,11 12 2024
4500000138,13 03 2022,1001,4,1,10004,74,5 04 2022,1 04 2022,3 04 2022,3 04 2022,2 04 2022,2 04 2022
4500000139,29 01 2023,1003,6,1,10006,72,21 02 2023,20 02 2023,19 02 2023,19 02 2023,18 02 2023,18 02 2023
4500000140,2 03 2022,1001,4,1,10004,79,25 03 2022,23 03 2022,23 03 2022,23 03 2022,22 03 2022,22 03 2022
4500000141,9 07 2022,1003,6,2,20006,73,1 08 2022,27 07 2022,30 07 2022,30 07 2022,29 07 2022,29 07 2022
4500000142,7 10 2024,1003,6,1,10006,73,30 10 2024,29 10 2024,28 10 2024,28 10 2024,27 10 2024,27 10 2024
4500000143,21 09 2022,1002,5,2,20005,89,14 10 2022,13 10 2022,12 10 2022,12 10 2022,11 10 2022,11 10 2022
4500000144,17 10 2024,1003,6,1,10006,70,9 11 2024,8 11 2024,7 11 2024,7 11 2024,6 11 2024,6 11 2024
4500000145,23 02 2023,1003,6,1,10006,65,18 03 2023,17 03 2023,16 03 2023,16 03 2023,15 03 2023,15 03 2023
4500000146,10 07 2022,1001,4,1,10004,76,2 08 2022,1 08 2022,31 07 2022,31 07 2022,30 07 2022,30 07 2022
4500000147,17 12 2023,1002,5,1,10005,74,9 01 2024,4 01 2024,7 01 2024,7 01 2024,6 01 2024,6 01 2024
4500000148,10 08 2023,1002,5,1,10005,66,2 09 2023,2 09 2023,31 08 2023,31 08 2023,30 08 2023,30 08 2023
4500000149,29 04 2023,1002,8,1,10008,73,23 05 2023,29 05 2023,21 05 2023,27 05 2023,19 05 2023,25 05 2023
4500000150,18 09 2024,1001,4,1,10004,72,11 10 2024,8 10 2024,9 10 2024,9 10 2024,8 10 2024,8 10 2024
4500000151,5 03 2024,1001,4,1,10004,88,28 03 2024,4 04 2024,26 03 2024,2 04 2024,25 03 2024,1 04 2024
4500000152,30 05 2022,1003,6,1,10006,83,22 06 2022,20 06 2022,20 06 2022,20 06 2022,19 06 2022,19 06 2022
4500000153,27 10 2024,1002,5,1,10005,85,19 11 2024,14 11 2024,17 11 2024,17 11 2024,16 11 2024,16 11 2024
4500000154,13 08 2022,1003,6,1,10006,64,5 09 2022,2 09 2022,3 09 2022,3 09 2022,2 09 2022,2 09 2022
4500000155,15 03 2024,1003,6,2,20006,87,7 04 2024,5 04 2024,5 04 2024,5 04 2024,4 04 2024,4 04 2024
4500000156,22 05 2022,1001,4,1,10004,86,14 06 2022,10 06 2022,12 06 2022,12 06 2022,11 06 2022,11 06 2022
4500000157,21 01 2022,1003,6,1,10006,70,13 02 2022,9 02 2022,11 02 2022,11 02 2022,10 02 2022,10 02 2022
4500000158,21 11 2022,1001,4,1,10004,84,14 12 2022,12 12 2022,12 12 2022,12 12 2022,11 12 2022,11 12 2022
4500000159,6 10 2023,1002,5,1,10005,76,29 10 2023,27 10 2023,27 10 2023,27 10 2023,26 10 2023,26 10 2023
4500000160,2 01 2024,1002,5,1,10005,77,25 01 2024,25 01 2024,23 01 2024,23 01 2024,22 01 2024,22 01 2024
4500000161,25 06 2022,1002,5,1,10005,80,18 07 2022,14 07 2022,16 07 2022,16 07 2022,15 07 2022,15 07 2022
4500000162,11 01 2024,1003,6,1,10006,70,3 02 2024,31 01 2024,1 02 2024,1 02 2024,31 01 2024,31 01 2024
4500000163,20 09 2023,1001,4,2,20004,75,13 10 2023,10 10 2023,11 10 2023,11 10 2023,10 10 2023,10 10 2023
4500000164,23 06 2022,1001,4,1,10004,82,16 07 2022,16 07 2022,14 07 2022,14 07 2022,13 07 2022,13 07 2022
4500000165,5 03 2022,1001,4,1,10004,75,28 03 2022,7 04 2022,26 03 2022,5 04 2022,25 03 2022,4 04 2022
4500000166,6 08 2022,1002,8,1,10008,69,30 08 2022,29 08 2022,28 08 2022,28 08 2022,26 08 2022,26 08 2022
4500000167,5 12 2022,1002,8,2,20008,76,29 12 2022,27 12 2022,27 12 2022,27 12 2022,25 12 2022,25 12 2022
4500000168,26 12 2023,1002,5,1,10005,75,18 01 2024,15 01 2024,16 01 2024,16 01 2024,15 01 2024,15 01 2024
4500000169,4 01 2024,1001,7,1,10007,81,27 01 2024,24 01 2024,25 01 2024,25 01 2024,24 01 2024,24 01 2024
4500000170,20 06 2022,1001,4,2,20004,80,13 07 2022,22 07 2022,11 07 2022,20 07 2022,10 07 2022,19 07 2022
4500000171,1 03 2022,1001,4,2,20004,76,24 03 2022,22 03 2022,22 03 2022,22 03 2022,21 03 2022,21 03 2022
4500000172,23 07 2022,1002,5,1,10005,68,15 08 2022,10 08 2022,13 08 2022,13 08 2022,12 08 2022,12 08 2022
4500000173,23 04 2022,1001,4,1,10004,73,16 05 2022,11 05 2022,14 05 2022,14 05 2022,13 05 2022,13 05 2022
4500000174,5 08 2024,1002,8,2,20008,74,29 08 2024,28 08 2024,27 08 2024,27 08 2024,25 08 2024,25 08 2024
4500000175,27 10 2024,1001,4,1,10004,83,19 11 2024,15 11 2024,17 11 2024,17 11 2024,16 11 2024,16 11 2024
4500000176,25 02 2022,1001,4,1,10004,74,20 03 2022,20 03 2022,18 03 2022,18 03 2022,17 03 2022,17 03 2022
4500000177,14 02 2022,1001,4,1,10004,78,9 03 2022,7 03 2022,7 03 2022,7 03 2022,6 03 2022,6 03 2022
4500000178,11 07 2022,1002,8,2,20008,78,4 08 2022,3 08 2022,2 08 2022,2 08 2022,31 07 2022,31 07 2022
4500000179,31 12 2022,1001,4,1,10004,78,23 01 2023,20 01 2023,21 01 2023,21 01 2023,20 01 2023,20 01 2023
4500000180,16 06 2022,1001,4,2,20004,76,9 07 2022,7 07 2022,7 07 2022,7 07 2022,6 07 2022,6 07 2022
4500000181,8 01 2024,1001,4,1,10004,75,31 01 2024,30 01 2024,29 01 2024,29 01 2024,28 01 2024,28 01 2024
4500000182,25 05 2023,1002,8,1,10008,79,18 06 2023,14 06 2023,16 06 2023,16 06 2023,14 06 2023,14 06 2023
4500000183,20 09 2023,1003,6,1,10006,78,13 10 2023,13 10 2023,11 10 2023,11 10 2023,10 10 2023,10 10 2023
4500000184,4 11 2022,1001,4,1,10004,84,27 11 2022,23 11 2022,25 11 2022,25 11 2022,24 11 2022,24 11 2022
4500000185,3 04 2022,1003,6,1,10006,66,26 04 2022,21 04 2022,24 04 2022,24 04 2022,23 04 2022,23 04 2022
4500000186,22 04 2024,1001,4,1,10004,69,15 05 2024,24 05 2024,13 05 2024,22 05 2024,12 05 2024,21 05 2024
4500000187,24 09 2023,1001,4,1,10004,87,17 10 2023,20 10 2023,15 10 2023,18 10 2023,14 10 2023,17 10 2023
4500000188,27 05 2024,1002,5,1,10005,80,19 06 2024,18 06 2024,17 06 2024,17 06 2024,16 06 2024,16 06 2024
4500000189,23 03 2022,1003,6,1,10006,87,15 04 2022,27 04 2022,13 04 2022,25 04 2022,12 04 2022,24 04 2022
4500000190,30 11 2022,1003,6,1,10006,81,23 12 2022,22 12 2022,21 12 2022,21 12 2022,20 12 2022,20 12 2022
4500000191,25 02 2022,1001,4,1,10004,92,20 03 2022,18 03 2022,18 03 2022,18 03 2022,17 03 2022,17 03 2022
4500000192,17 09 2023,1002,5,1,10005,81,10 10 2023,10 10 2023,8 10 2023,8 10 2023,7 10 2023,7 10 2023
4500000193,17 09 2024,1002,8,1,10008,77,11 10 2024,8 10 2024,9 10 2024,9 10 2024,7 10 2024,7 10 2024
4500000194,7 11 2023,1003,6,1,10006,69,30 11 2023,29 11 2023,28 11 2023,28 11 2023,27 11 2023,27 11 2023
4500000195,19 11 2024,1001,4,1,10004,66,12 12 2024,11 12 2024,10 12 2024,10 12 2024,9 12 2024,9 12 2024
4500000196,23 03 2024,1003,6,2,20006,69,15 04 2024,12 04 2024,13 04 2024,13 04 2024,12 04 2024,12 04 2024
4500000197,25 01 2024,1001,4,1,10004,72,17 02 2024,17 02 2024,15 02 2024,15 02 2024,14 02 2024,14 02 2024
4500000198,13 06 2023,1002,8,1,10008,81,7 07 2023,12 07 2023,5 07 2023,10 07 2023,3 07 2023,8 07 2023
4500000199,11 05 2022,1002,8,1,10008,80,4 06 2022,1 06 2022,2 06 2022,2 06 2022,31 05 2022,31 05 2022
4500000200,27 09 2023,1002,5,1,10005,69,20 10 2023,17 10 2023,18 10 2023,18 10 2023,17 10 2023,17 10 2023
4500000201,22 01 2024,1002,8,1,10008,76,15 02 2024,15 02 2024,13 02 2024,13 02 2024,11 02 2024,11 02 2024
4500000202,28 06 2024,1002,5,2,20005,76,21 07 2024,18 07 2024,19 07 2024,19 07 2024,18 07 2024,18 07 2024
4500000203,8 10 2024,1002,5,1,10005,75,31 10 2024,28 10 2024,29 10 2024,29 10 2024,28 10 2024,28 10 2024
4500000204,30 08 2022,1003,6,1,10006,84,22 09 2022,22 09 2022,20 09 2022,20 09 2022,19 09 2022,19 09 2022
4500000205,28 05 2024,1001,4,1,10004,78,20 06 2024,19 06 2024,18 06 2024,18 06 2024,17 06 2024,17 06 2024
4500000206,1 03 2023,1003,6,1,10006,78,24 03 2023,7 04 2023,22 03 2023,22 03 2023,21 03 2023,21 03 2023
4500000207,27 09 2023,1002,8,1,10008,82,21 10 2023,20 10 2023,19 10 2023,19 10 2023,17 10 2023,17 10 2023
