,PurchaseOrder,PurchaseOrderCreationDate,VendorKey,PlantKey,MaterialKey,MaterialPlantKey,PurchaseOrderQuantity,PlannedGoodsReceiptDate,ActualGoodsReceiptDate,PlannedArrivalDateYard,ActualArrivalDateYard,PlannedVendorShipmentDate,ActualVendorShipmentDate,ReceiptTimeDeviation
86,4500000086,10/23/2022,1002,5,2,20005,76,11/15/2022,11/15/2022,11/13/2022,11/13/2022,11/12/2022,11/12/2022,0
87,4500000087,12/28/2021,1002,5,1,10005,79,1/20/2022,2/3/2022,1/18/2022,2/1/2022,1/17/2022,1/31/2022,14
88,4500000088,11/18/2023,1001,4,2,20004,79,12/11/2023,12/12/2023,12/9/2023,12/9/2023,12/8/2023,12/8/2023,1
89,4500000089,2/22/2023,1002,8,2,20008,82,3/18/2023,3/16/2023,3/16/2023,3/16/2023,3/14/2023,3/14/2023,-2
90,4500000090,7/13/2022,1001,4,1,10004,85,8/5/2022,8/5/2022,8/3/2022,8/3/2022,8/2/2022,8/2/2022,0
91,4500000091,10/4/2023,1001,4,2,20004,77,10/27/2023,10/24/2023,10/25/2023,10/25/2023,10/24/2023,10/24/2023,-3
92,4500000092,2/14/2023,1003,6,2,20006,71,3/9/2023,3/7/2023,3/7/2023,3/7/2023,3/6/2023,3/6/2023,-2
93,4500000093,9/6/2022,1002,8,2,20008,73,9/30/2022,10/10/2022,9/28/2022,10/8/2022,9/26/2022,10/6/2022,10
94,4500000094,11/7/2024,1002,5,2,20005,66,11/30/2024,11/30/2024,11/28/2024,11/28/2024,11/27/2024,11/27/2024,0
95,4500000095,12/13/2023,1001,4,1,10004,61,1/5/2024,1/2/2024,1/3/2024,1/3/2024,1/2/2024,1/2/2024,-3
96,4500000096,3/7/2024,1001,4,1,10004,82,3/30/2024,3/28/2024,3/28/2024,3/28/2024,3/27/2024,3/27/2024,-2
97,4500000097,9/26/2024,1003,6,1,10006,72,10/19/2024,10/16/2024,10/17/2024,10/17/2024,10/16/2024,10/16/2024,-3
98,4500000098,6/20/2023,1002,8,1,10008,74,7/14/2023,7/28/2023,7/12/2023,7/12/2023,7/10/2023,7/10/2023,14
99,4500000099,7/29/2023,1001,4,1,10004,85,8/21/2023,8/16/2023,8/19/2023,8/19/2023,8/18/2023,8/18/2023,-5
100,4500000100,5/22/2023,1003,6,1,10006,74,6/14/2023,6/12/2023,6/12/2023,6/12/2023,6/11/2023,6/11/2023,-2
101,4500000101,8/14/2022,1002,5,1,10005,73,9/6/2022,9/6/2022,9/4/2022,9/4/2022,9/3/2022,9/3/2022,0
102,4500000102,9/18/2023,1003,6,1,10006,75,10/11/2023,10/16/2023,10/9/2023,10/14/2023,10/8/2023,10/13/2023,5
103,4500000103,7/4/2022,1002,5,2,20005,79,7/27/2022,7/26/2022,7/25/2022,7/25/2022,7/24/2022,7/24/2022,-1
104,4500000104,4/27/2023,1002,5,1,10005,86,5/20/2023,5/17/2023,5/18/2023,5/18/2023,5/17/2023,5/17/2023,-3
105,4500000105,7/29/2023,1001,4,2,20004,71,8/21/2023,9/1/2023,8/19/2023,8/30/2023,8/18/2023,8/29/2023,11
106,4500000106,12/12/2022,1001,4,1,10004,76,1/4/2023,12/30/2022,1/2/2023,1/2/2023,1/1/2023,1/1/2023,-5
107,4500000107,12/23/2021,1001,4,1,10004,78,1/15/2022,1/12/2022,1/13/2022,1/13/2022,1/12/2022,1/12/2022,-3
108,4500000108,2/27/2023,1002,8,1,10008,74,3/23/2023,3/23/2023,3/21/2023,3/21/2023,3/19/2023,3/19/2023,0
109,4500000109,2/15/2023,1002,8,1,10008,77,3/11/2023,3/21/2023,3/9/2023,3/19/2023,3/7/2023,3/17/2023,10
110,4500000110,11/2/2024,1003,6,1,10006,77,11/25/2024,11/25/2024,11/23/2024,11/23/2024,11/22/2024,11/22/2024,0
111,4500000111,1/7/2023,1002,5,1,10005,76,1/30/2023,1/26/2023,1/28/2023,1/28/2023,1/27/2023,1/27/2023,-4
112,4500000112,2/28/2024,1003,6,1,10006,78,3/22/2024,3/21/2024,3/20/2024,3/20/2024,3/19/2024,3/19/2024,-1
113,4500000113,1/7/2023,1001,4,2,20004,75,1/30/2023,1/25/2023,1/28/2023,1/28/2023,1/27/2023,1/27/2023,-5
114,4500000114,8/27/2022,1002,5,1,10005,68,9/19/2022,9/14/2022,9/17/2022,9/17/2022,9/16/2022,9/16/2022,-5
115,4500000115,8/15/2024,1002,5,2,20005,80,9/7/2024,9/7/2024,9/5/2024,9/5/2024,9/4/2024,9/4/2024,0
116,4500000116,8/28/2024,1002,8,2,20008,80,9/21/2024,9/18/2024,9/19/2024,9/19/2024,9/17/2024,9/17/2024,-3
117,4500000117,7/21/2024,1003,6,1,10006,79,8/13/2024,8/22/2024,8/11/2024,8/20/2024,8/10/2024,8/19/2024,9
118,4500000118,6/27/2023,1001,4,1,10004,83,7/20/2023,7/20/2023,7/18/2023,7/18/2023,7/17/2023,7/17/2023,0
119,4500000119,2/3/2022,1001,4,1,10004,73,2/26/2022,2/28/2022,2/24/2022,2/26/2022,2/23/2022,2/25/2022,2
120,4500000120,2/5/2024,1002,5,1,10005,70,2/28/2024,2/28/2024,2/26/2024,2/26/2024,2/25/2024,2/25/2024,0
121,4500000121,5/15/2023,1002,5,1,10005,70,6/7/2023,6/6/2023,6/5/2023,6/5/2023,6/4/2023,6/4/2023,-1
122,4500000122,5/14/2022,1003,6,2,20006,77,6/6/2022,6/6/2022,6/4/2022,6/4/2022,6/3/2022,6/3/2022,0
123,4500000123,11/18/2023,1002,5,1,10005,84,12/11/2023,12/11/2023,12/9/2023,12/9/2023,12/8/2023,12/8/2023,0
124,4500000124,5/24/2022,1003,6,1,10006,78,6/16/2022,6/15/2022,6/14/2022,6/14/2022,6/13/2022,6/13/2022,-1
125,4500000125,1/5/2023,1002,5,1,10005,73,1/28/2023,1/27/2023,1/26/2023,1/26/2023,1/25/2023,1/25/2023,-1
126,4500000126,11/11/2023,1003,6,1,10006,83,12/4/2023,11/30/2023,12/2/2023,12/2/2023,12/1/2023,12/1/2023,-4
127,4500000127,1/15/2024,1002,8,2,20008,85,2/8/2024,2/21/2024,2/6/2024,2/19/2024,2/4/2024,2/17/2024,13
128,4500000128,4/13/2022,1001,4,2,20004,77,5/6/2022,5/5/2022,5/4/2022,5/4/2022,5/3/2022,5/3/2022,-1
129,4500000129,11/11/2023,1002,5,1,10005,87,12/4/2023,11/30/2023,12/2/2023,12/2/2023,12/1/2023,12/1/2023,-4
130,4500000130,7/26/2024,1003,6,2,20006,78,8/18/2024,8/29/2024,8/16/2024,8/16/2024,8/15/2024,8/15/2024,11
131,4500000131,8/25/2023,1001,4,1,10004,65,9/17/2023,9/17/2023,9/15/2023,9/15/2023,9/14/2023,9/14/2023,0
132,4500000132,9/7/2022,1003,6,1,10006,74,9/30/2022,10/10/2022,9/28/2022,10/8/2022,9/27/2022,10/7/2022,10
133,4500000133,5/5/2022,1001,4,2,20004,83,5/28/2022,5/26/2022,5/26/2022,5/26/2022,5/25/2022,5/25/2022,-2
134,4500000134,5/22/2024,1002,8,1,10008,76,6/15/2024,6/14/2024,6/13/2024,6/13/2024,6/11/2024,6/11/2024,-1
135,4500000135,6/1/2022,1002,5,1,10005,72,6/24/2022,6/27/2022,6/22/2022,6/22/2022,6/21/2022,6/21/2022,3
136,4500000136,8/9/2024,1001,4,1,10004,74,9/1/2024,9/1/2024,8/30/2024,8/30/2024,8/29/2024,8/29/2024,0
137,4500000137,11/21/2024,1002,5,1,10005,75,12/14/2024,12/14/2024,12/12/2024,12/12/2024,12/11/2024,12/11/2024,0
138,4500000138,3/13/2022,1001,4,1,10004,74,4/5/2022,4/1/2022,4/3/2022,4/3/2022,4/2/2022,4/2/2022,-4
139,4500000139,1/29/2023,1003,6,1,10006,72,2/21/2023,2/20/2023,2/19/2023,2/19/2023,2/18/2023,2/18/2023,-1
140,4500000140,3/2/2022,1001,4,1,10004,79,3/25/2022,3/23/2022,3/23/2022,3/23/2022,3/22/2022,3/22/2022,-2
141,4500000141,7/9/2022,1003,6,2,20006,73,8/1/2022,7/27/2022,7/30/2022,7/30/2022,7/29/2022,7/29/2022,-5
142,4500000142,10/7/2024,1003,6,1,10006,73,10/30/2024,10/29/2024,10/28/2024,10/28/2024,10/27/2024,10/27/2024,-1
143,4500000143,9/21/2022,1002,5,2,20005,89,10/14/2022,10/13/2022,10/12/2022,10/12/2022,10/11/2022,10/11/2022,-1
144,4500000144,10/17/2024,1003,6,1,10006,70,11/9/2024,11/8/2024,11/7/2024,11/7/2024,11/6/2024,11/6/2024,-1
145,4500000145,2/23/2023,1003,6,1,10006,65,3/18/2023,3/17/2023,3/16/2023,3/16/2023,3/15/2023,3/15/2023,-1
146,4500000146,7/10/2022,1001,4,1,10004,76,8/2/2022,8/1/2022,7/31/2022,7/31/2022,7/30/2022,7/30/2022,-1
147,4500000147,12/17/2023,1002,5,1,10005,74,1/9/2024,1/4/2024,1/7/2024,1/7/2024,1/6/2024,1/6/2024,-5
148,4500000148,8/10/2023,1002,5,1,10005,66,9/2/2023,9/2/2023,8/31/2023,8/31/2023,8/30/2023,8/30/2023,0
149,4500000149,4/29/2023,1002,8,1,10008,73,5/23/2023,5/29/2023,5/21/2023,5/27/2023,5/19/2023,5/25/2023,6
150,4500000150,9/18/2024,1001,4,1,10004,72,10/11/2024,10/8/2024,10/9/2024,10/9/2024,10/8/2024,10/8/2024,-3
151,4500000151,3/5/2024,1001,4,1,10004,88,3/28/2024,4/4/2024,3/26/2024,4/2/2024,3/25/2024,4/1/2024,7
152,4500000152,5/30/2022,1003,6,1,10006,83,6/22/2022,6/20/2022,6/20/2022,6/20/2022,6/19/2022,6/19/2022,-2
153,4500000153,10/27/2024,1002,5,1,10005,85,11/19/2024,11/14/2024,11/17/2024,11/17/2024,11/16/2024,11/16/2024,-5
154,4500000154,8/13/2022,1003,6,1,10006,64,9/5/2022,9/2/2022,9/3/2022,9/3/2022,9/2/2022,9/2/2022,-3
155,4500000155,3/15/2024,1003,6,2,20006,87,4/7/2024,4/5/2024,4/5/2024,4/5/2024,4/4/2024,4/4/2024,-2
156,4500000156,5/22/2022,1001,4,1,10004,86,6/14/2022,6/10/2022,6/12/2022,6/12/2022,6/11/2022,6/11/2022,-4
157,4500000157,1/21/2022,1003,6,1,10006,70,2/13/2022,2/9/2022,2/11/2022,2/11/2022,2/10/2022,2/10/2022,-4
158,4500000158,11/21/2022,1001,4,1,10004,84,12/14/2022,12/12/2022,12/12/2022,12/12/2022,12/11/2022,12/11/2022,-2
159,4500000159,10/6/2023,1002,5,1,10005,76,10/29/2023,10/27/2023,10/27/2023,10/27/2023,10/26/2023,10/26/2023,-2
160,4500000160,1/2/2024,1002,5,1,10005,77,1/25/2024,1/25/2024,1/23/2024,1/23/2024,1/22/2024,1/22/2024,0
161,4500000161,6/25/2022,1002,5,1,10005,80,7/18/2022,7/14/2022,7/16/2022,7/16/2022,7/15/2022,7/15/2022,-4
162,4500000162,1/11/2024,1003,6,1,10006,70,2/3/2024,1/31/2024,2/1/2024,2/1/2024,1/31/2024,1/31/2024,-3
163,4500000163,9/20/2023,1001,4,2,20004,75,10/13/2023,10/10/2023,10/11/2023,10/11/2023,10/10/2023,10/10/2023,-3
164,4500000164,6/23/2022,1001,4,1,10004,82,7/16/2022,7/16/2022,7/14/2022,7/14/2022,7/13/2022,7/13/2022,0
165,4500000165,3/5/2022,1001,4,1,10004,75,3/28/2022,4/7/2022,3/26/2022,4/5/2022,3/25/2022,4/4/2022,10
166,4500000166,8/6/2022,1002,8,1,10008,69,8/30/2022,8/29/2022,8/28/2022,8/28/2022,8/26/2022,8/26/2022,-1
167,4500000167,12/5/2022,1002,8,2,20008,76,12/29/2022,12/27/2022,12/27/2022,12/27/2022,12/25/2022,12/25/2022,-2
168,4500000168,12/26/2023,1002,5,1,10005,75,1/18/2024,1/15/2024,1/16/2024,1/16/2024,1/15/2024,1/15/2024,-3
169,4500000169,1/4/2024,1001,7,1,10007,81,1/27/2024,1/24/2024,1/25/2024,1/25/2024,1/24/2024,1/24/2024,-3
170,4500000170,6/20/2022,1001,4,2,20004,80,7/13/2022,7/22/2022,7/11/2022,7/20/2022,7/10/2022,7/19/2022,9
171,4500000171,3/1/2022,1001,4,2,20004,76,3/24/2022,3/22/2022,3/22/2022,3/22/2022,3/21/2022,3/21/2022,-2
172,4500000172,7/23/2022,1002,5,1,10005,68,8/15/2022,8/10/2022,8/13/2022,8/13/2022,8/12/2022,8/12/2022,-5
173,4500000173,4/23/2022,1001,4,1,10004,73,5/16/2022,5/11/2022,5/14/2022,5/14/2022,5/13/2022,5/13/2022,-5
174,4500000174,8/5/2024,1002,8,2,20008,74,8/29/2024,8/28/2024,8/27/2024,8/27/2024,8/25/2024,8/25/2024,-1
175,4500000175,10/27/2024,1001,4,1,10004,83,11/19/2024,11/15/2024,11/17/2024,11/17/2024,11/16/2024,11/16/2024,-4
176,4500000176,2/25/2022,1001,4,1,10004,74,3/20/2022,3/20/2022,3/18/2022,3/18/2022,3/17/2022,3/17/2022,0
177,4500000177,2/14/2022,1001,4,1,10004,78,3/9/2022,3/7/2022,3/7/2022,3/7/2022,3/6/2022,3/6/2022,-2
178,4500000178,7/11/2022,1002,8,2,20008,78,8/4/2022,8/3/2022,8/2/2022,8/2/2022,7/31/2022,7/31/2022,-1
179,4500000179,12/31/2022,1001,4,1,10004,78,1/23/2023,1/20/2023,1/21/2023,1/21/2023,1/20/2023,1/20/2023,-3
180,4500000180,6/16/2022,1001,4,2,20004,76,7/9/2022,7/7/2022,7/7/2022,7/7/2022,7/6/2022,7/6/2022,-2
181,4500000181,1/8/2024,1001,4,1,10004,75,1/31/2024,1/30/2024,1/29/2024,1/29/2024,1/28/2024,1/28/2024,-1
182,4500000182,5/25/2023,1002,8,1,10008,79,6/18/2023,6/14/2023,6/16/2023,6/16/2023,6/14/2023,6/14/2023,-4
183,4500000183,9/20/2023,1003,6,1,10006,78,10/13/2023,10/13/2023,10/11/2023,10/11/2023,10/10/2023,10/10/2023,0
184,4500000184,11/4/2022,1001,4,1,10004,84,11/27/2022,11/23/2022,11/25/2022,11/25/2022,11/24/2022,11/24/2022,-4
185,4500000185,4/3/2022,1003,6,1,10006,66,4/26/2022,4/21/2022,4/24/2022,4/24/2022,4/23/2022,4/23/2022,-5
186,4500000186,4/22/2024,1001,4,1,10004,69,5/15/2024,5/24/2024,5/13/2024,5/22/2024,5/12/2024,5/21/2024,9
187,4500000187,9/24/2023,1001,4,1,10004,87,10/17/2023,10/20/2023,10/15/2023,10/18/2023,10/14/2023,10/17/2023,3
188,4500000188,5/27/2024,1002,5,1,10005,80,6/19/2024,6/18/2024,6/17/2024,6/17/2024,6/16/2024,6/16/2024,-1
189,4500000189,3/23/2022,1003,6,1,10006,87,4/15/2022,4/27/2022,4/13/2022,4/25/2022,4/12/2022,4/24/2022,12
190,4500000190,11/30/2022,1003,6,1,10006,81,12/23/2022,12/22/2022,12/21/2022,12/21/2022,12/20/2022,12/20/2022,-1
191,4500000191,2/25/2022,1001,4,1,10004,92,3/20/2022,3/18/2022,3/18/2022,3/18/2022,3/17/2022,3/17/2022,-2
192,4500000192,9/17/2023,1002,5,1,10005,81,10/10/2023,10/10/2023,10/8/2023,10/8/2023,10/7/2023,10/7/2023,0
193,4500000193,9/17/2024,1002,8,1,10008,77,10/11/2024,10/8/2024,10/9/2024,10/9/2024,10/7/2024,10/7/2024,-3
